,Timestamp,S_M_10cm,S_M_45cm,S_M_80cm,Temperature,Humidity,Pressure,Luxes,Battery,Readings,Day,Date,Time
0,1569849944,0.0,0.0,0.0,21.01,66.55,98026.24,608.0,15,0, Mon, 19/09/30, 13:25:44 
1,1569850022,0.0,0.0,0.0,21.06,66.43,98027.92,617.0,15,1, Mon, 19/09/30, 13:27:02 
2,1569850100,0.0,0.0,0.0,21.12,66.62,98025.24,636.0,15,2, Mon, 19/09/30, 13:28:20 
3,1569850178,0.0,0.0,0.0,21.19,66.58,98009.65,642.0,16,3, Mon, 19/09/30, 13:29:38 
4,1569850256,0.0,0.0,0.0,21.25,66.94,98003.22,646.0,16,4, Mon, 19/09/30, 13:30:56 
5,1569850334,0.0,0.0,0.0,21.3,66.96,98003.25,615.0,12,5, Mon, 19/09/30, 13:32:14 
6,1569850412,0.0,0.0,0.0,21.37,66.82,97988.72,612.0,16,6, Mon, 19/09/30, 13:33:32 
7,1569850490,0.0,0.0,0.0,21.4,66.93,97992.51,608.0,16,7, Mon, 19/09/30, 13:34:50 
8,1569850568,0.0,0.0,0.0,21.45,66.94,97981.74,571.0,16,8, Mon, 19/09/30, 13:36:08 
9,1569850646,0.0,0.0,0.0,21.5,66.64,97979.06,556.0,16,9, Mon, 19/09/30, 13:37:26 
10,1569850724,0.0,0.0,0.0,21.54,67.58,97975.57,550.0,16,10, Mon, 19/09/30, 13:38:44 
11,1569850802,0.0,0.0,0.0,21.62,67.58,97969.12,538.0,16,11, Mon, 19/09/30, 13:40:02 
12,1569850880,0.0,0.0,0.0,21.65,67.5,97961.03,556.0,16,12, Mon, 19/09/30, 13:41:20 
13,1569850958,0.0,0.0,0.0,21.7,67.52,97961.32,564.0,17,13, Mon, 19/09/30, 13:42:38 
14,1569851036,0.0,0.0,0.0,21.72,67.48,97956.2,558.0,17,14, Mon, 19/09/30, 13:43:56 
15,1569851114,0.0,0.0,0.0,21.77,67.48,97961.87,532.0,17,15, Mon, 19/09/30, 13:45:14 
16,1569851192,0.0,0.0,0.0,21.8,67.6,97952.15,536.0,17,16, Mon, 19/09/30, 13:46:32 
17,1569851270,0.0,0.0,0.0,21.81,67.74,97946.28,549.0,17,17, Mon, 19/09/30, 13:47:50 
18,1569851348,0.0,0.0,0.0,21.87,67.52,97940.32,544.0,17,18, Mon, 19/09/30, 13:49:08 
19,1569851426,0.0,0.0,0.0,21.9,67.48,97940.34,542.0,17,19, Mon, 19/09/30, 13:50:26 
20,1569851504,0.0,0.0,0.0,21.94,67.48,97931.7,544.0,17,20, Mon, 19/09/30, 13:51:44 
21,1569851582,0.0,0.0,0.0,21.98,67.5,97923.9,552.0,17,21, Mon, 19/09/30, 13:53:02 
22,1569851660,0.0,0.0,0.0,22.03,67.49,97916.89,549.0,18,22, Mon, 19/09/30, 13:54:20 
23,1569851738,0.0,0.0,0.0,22.04,67.54,97916.32,540.0,18,23, Mon, 19/09/30, 13:55:38 
24,1569851816,0.0,0.0,0.0,22.09,67.48,97905.8,524.0,18,24, Mon, 19/09/30, 13:56:56 
25,1569851894,0.0,0.0,0.0,22.12,67.45,97907.97,526.0,18,25, Mon, 19/09/30, 13:58:14 
26,1569851972,0.0,0.0,0.0,22.15,67.62,97902.01,520.0,18,26, Mon, 19/09/30, 13:59:32 
27,1569852050,0.0,0.0,0.0,22.19,67.48,97911.22,527.0,18,27, Mon, 19/09/30, 14:00:50 
28,1569852128,0.0,0.0,0.0,22.22,67.48,97907.14,560.0,18,28, Mon, 19/09/30, 14:02:08 
29,1569852206,0.0,0.0,0.0,22.25,67.45,97912.82,581.0,18,29, Mon, 19/09/30, 14:03:26 
