date_time,Soil moisture at 10m,Soil moisture at 25m,Soil moisture at 50 m,Soil moisture at 80m
11/22/2011 1:00,9.2,12.9,18.7,24.9
11/22/2011 2:00,9.2,12.9,18.7,24.9
11/22/2011 3:00,9.2,12.9,18.7,24.9
11/22/2011 4:00,9.2,12.9,18.7,24.4
11/22/2011 5:00,9.2,12.6,18.7,24.4
11/22/2011 6:00,8.9,12.2,18.3,24.4
11/22/2011 7:00,8.6,11.9,17.9,24
11/22/2011 8:00,8.9,11.9,17.4,24
11/22/2011 9:00,8.9,11.9,17.4,24
11/22/2011 10:00,9.2,12.2,17.4,24
11/22/2011 11:00,9.2,12.2,17.9,24
11/22/2011 12:00,9.2,12.6,17.9,24
11/22/2011 13:00,9.6,12.6,18.3,24.4
11/22/2011 14:00,9.6,12.9,18.3,24.4
11/22/2011 15:00,9.6,12.9,18.3,24.4
11/22/2011 16:00,9.6,12.9,18.7,24.4
11/22/2011 17:00,9.6,12.9,18.7,24.4
11/22/2011 18:00,9.6,12.9,18.7,24.4
11/22/2011 19:00,9.6,12.9,18.7,24.4
11/22/2011 20:00,9.6,12.9,18.7,24.4
11/22/2011 21:00,9.6,12.9,18.7,24.9
11/22/2011 22:00,9.6,12.9,18.7,24.9
11/22/2011 23:00,9.6,12.9,18.7,24.9
11/23/2011 0:00,9.2,12.9,18.7,24.9
11/23/2011 1:00,9.2,12.9,18.7,24.9
11/23/2011 2:00,9.2,12.9,18.7,24.9
11/23/2011 3:00,9.2,12.9,18.7,24.9
11/23/2011 4:00,8.9,12.6,18.7,24.4
11/23/2011 5:00,8.6,12.2,18.3,24
11/23/2011 6:00,8.6,11.9,17.9,24
11/23/2011 7:00,8.6,11.9,17.4,23.6
11/23/2011 8:00,8.6,11.6,17.4,23.6
11/23/2011 9:00,8.6,11.6,17,23.6
11/23/2011 10:00,8.9,11.9,17.4,23.6
11/23/2011 11:00,9.2,12.2,17.4,23.6
11/23/2011 12:00,9.2,12.2,17.4,23.6
11/23/2011 13:00,9.6,12.6,17.9,24
11/23/2011 14:00,9.6,12.9,18.3,24
11/23/2011 15:00,9.6,12.9,18.3,24.4
11/23/2011 16:00,9.6,12.9,18.3,24.4
11/23/2011 17:00,9.6,12.9,18.3,24.4
11/23/2011 18:00,9.6,12.9,18.7,24.4
11/23/2011 19:00,9.2,12.9,18.7,24.4
11/23/2011 20:00,9.2,12.9,18.7,24.4
11/23/2011 21:00,9.2,12.9,18.7,24.4
11/23/2011 22:00,9.2,12.9,18.7,24.4
11/23/2011 23:00,9.2,12.9,18.7,24.4
11/24/2011 0:00,9.2,12.9,18.7,24.4
11/24/2011 1:00,9.2,12.9,18.7,24.9
11/24/2011 2:00,9.2,12.9,18.7,24.4
11/24/2011 3:00,9.2,12.9,18.7,24.4
11/24/2011 4:00,8.9,12.6,18.3,24.4
11/24/2011 5:00,8.6,12.2,17.9,24
11/24/2011 6:00,8.2,11.9,17.4,23.6
11/24/2011 7:00,8.2,11.6,17,23.6
11/24/2011 8:00,8.2,11.6,17,23.1
11/24/2011 9:00,8.2,11.6,17,23.1
11/24/2011 10:00,8.9,11.9,17,23.6
11/24/2011 11:00,8.9,11.9,17.4,23.6
11/24/2011 12:00,9.2,12.2,17.4,23.6
11/24/2011 13:00,9.2,12.6,17.9,24
11/24/2011 14:00,9.6,12.6,17.9,24
11/24/2011 15:00,9.6,12.9,18.3,24
11/24/2011 16:00,9.2,12.9,18.3,24
11/24/2011 17:00,9.2,12.9,18.3,24
11/24/2011 18:00,9.2,12.9,18.3,24
11/24/2011 19:00,9.2,12.9,18.3,24.4
11/24/2011 20:00,9.2,12.9,18.3,24.4
