, Actual 10 m,Predicted 10 m,Error at 10 m , Actual25 m,Predicted 25 m,Error at 25 m , Actual 50 m,Predicted 50 m,Error at 50 m , Actual 80 m,Predicted 80 m,Error at 80 m 
11/22/2011 1:00,42.63404255319149,921.9402,-882.340185546875,40.17556390977444,879.9047,-840.3047241210937,36.84054054054055,803.65027,-764.0502685546875,39.6,862.4138,-822.813818359375
11/22/2011 2:00,42.63404255319149,920.50226,-880.9022583007812,40.17556390977444,881.61285,-842.0128540039062,36.84054054054055,804.9937,-765.3937133789062,39.6,863.34424,-823.74423828125
11/22/2011 3:00,42.18085106382979,920.66003,-881.0600341796875,40.17556390977444,881.1442,-841.5442260742187,36.84054054054055,804.9142,-765.3141845703125,39.6,862.6187,-823.0187133789062
11/22/2011 4:00,42.18085106382979,913.85223,-874.2522338867187,40.65601503759399,880.40405,-840.804052734375,37.991891891891896,804.2136,-764.613623046875,39.6,862.50635,-822.90634765625
11/22/2011 5:00,42.18085106382979,911.79663,-872.196630859375,40.65601503759399,886.88947,-847.2894653320312,37.991891891891896,820.34546,-780.745458984375,39.6,862.2856,-822.6855834960937
11/22/2011 6:00,42.18085106382979,912.7598,-873.1598266601562,40.65601503759399,888.9045,-849.3044799804687,37.991891891891896,826.64996,-787.0499633789062,39.6,862.6378,-823.0378173828125
11/22/2011 7:00,41.72765957446809,912.5854,-872.9853881835937,40.65601503759399,889.7019,-850.101904296875,37.991891891891896,828.519,-788.9189819335937,39.6,862.43,-822.8299926757812
11/22/2011 8:00,41.72765957446809,905.94324,-865.7432373046875,40.17556390977444,890.9176,-850.7176025390625,37.991891891891896,828.8044,-788.6043823242187,40.2,862.7668,-822.5667846679687
11/22/2011 9:00,41.72765957446809,904.65314,-864.4531372070312,40.17556390977444,883.62506,-843.4250610351562,37.991891891891896,828.63837,-788.4383666992187,40.2,869.9367,-829.7367065429687
11/22/2011 10:00,41.72765957446809,904.0338,-863.8338134765625,40.17556390977444,882.83563,-842.6356323242187,37.991891891891896,828.3342,-788.134228515625,40.2,873.003,-832.8029907226562
11/22/2011 11:00,41.72765957446809,903.8982,-863.698193359375,40.17556390977444,883.179,-842.9790161132812,37.991891891891896,827.88556,-787.6855590820312,40.2,873.65533,-833.4553344726562
11/22/2011 12:00,41.72765957446809,903.71326,-863.5132568359375,40.17556390977444,883.4577,-843.2577026367187,37.991891891891896,828.09155,-787.891552734375,40.2,873.9059,-833.7058837890625
11/22/2011 13:00,41.72765957446809,903.8075,-863.6074951171875,40.17556390977444,883.2188,-843.0188110351562,37.991891891891896,828.458,-788.2580078125,40.2,874.07947,-833.8794677734375
11/22/2011 14:00,41.72765957446809,902.66266,-862.4626586914062,40.17556390977444,883.00073,-842.800732421875,37.991891891891896,828.74335,-788.5433471679687,40.2,873.752,-833.5520141601562
11/22/2011 15:00,41.72765957446809,903.91675,-863.716748046875,40.17556390977444,884.0531,-843.8531005859375,37.991891891891896,828.1721,-787.972119140625,40.2,873.731,-833.5310180664062
11/22/2011 16:00,41.72765957446809,904.7806,-864.5805786132812,40.17556390977444,883.7997,-843.5996826171875,37.991891891891896,828.2712,-788.0711791992187,40.2,874.19977,-833.9997680664062
11/22/2011 17:00,41.35,906.2152,-866.0152099609375,40.17556390977444,883.8402,-843.6402099609375,37.991891891891896,830.5636,-790.3635986328125,40.2,874.8328,-834.6328247070312
11/22/2011 18:00,41.35,899.1363,-859.5362915039062,39.69511278195489,883.5811,-843.9811157226562,37.991891891891896,830.29626,-790.6962646484375,39.6,875.30646,-835.7064575195312
11/22/2011 19:00,41.35,895.9162,-856.3161987304687,39.69511278195489,876.6389,-837.038916015625,36.84054054054055,829.9436,-790.343603515625,39.6,867.3977,-827.797705078125
11/22/2011 20:00,40.8968085106383,895.80383,-856.2038330078125,39.69511278195489,875.2269,-835.6269287109375,36.84054054054055,812.95984,-773.3598388671875,39.6,864.84576,-825.2457641601562
