IND	YEAR	WK	DT	MN	DBT1	WBT1	DBT2	WBT2	..MAX	..MIN	.GMIN	STMP1	STMP2	STMP3	STMP4	STMP5	STMP6	.VP1	.VP2	RH1	RH2	MWSP	D1	D2	.SSH	..DRF	EVP1	EVP2
94	2002	1	1	1	6.8	6.8	12	10.4	13.2	6.6	5	9.5	10.4	13.6	16.5	13.5	13	7.4	8.5	100	81	3.8	0	32	2.5	0		0.5
94	2002	1	2	1	4.8	4.8	13.2	11.6	12.6	4.6	4	8.4	9.4	13	19	15	13	6.5	9.3	100	82	3.2	0	32	0	0		0.7
94	2002	1	3	1	4.6	4.6	15.8	12.4	15	4.4	1.8	8	9	13	19.4	15.5	13.4	6.4	8.7	100	65	1.5	0	32	5.5	0		0.5
94	2002	1	4	1	5	5	16.8	13.8	17.4	4.2	1	8	9	13	18	15	13	6.5	10	100	70	1.7	0	32	6.2	0		0.6
94	2002	1	5	1	2.8	2.8	19.4	14.2	18.6	2.6	-0.4	5.5	7.5	12.5	20	15.5	12.5	5.6	9	100	53	1	0	32	5.5	0		0.5
94	2002	1	6	1	3.8	3.8	18.8	14	20	3.5	-0.4	6.4	8.8	12.6	19	16.5	12.6	6	8.5	100	56	1.2	0	0	6.4	0		0.7
94	2002	1	7	1	4.2	4.2	19.4	13.6	21.2	4	-0.6	5.2	7.2	12.4	19.5	15.5	12.5	6.2	9.2	100	49	0.9	0	32	5.2	0		0.9
94	2002	2	8	1	5.8	5.8	19.2	15	20	5	0.6	5	7	12	20	15.5	12	6.9	9.6	100	61	1.8	0	32	8	0		1
94	2002	2	9	1	5	5	18.6	14.6	19.8	4.5	1.4	8	9	13.5	20.5	16	12.5	6.5	10	100	62	2.1	0	32	8.2	0		1
94	2002	2	10	1	6.8	6.8	19.2	15	19.4	6.2	2	7.6	9	12.5	21.5	17	12.5	7.4	10.2	100	61	2	0	32	6	0		1
94	2002	2	11	1	6.6	6.6	20	13.8	19.8	6.2	0	5.6	7.6	13	22	17.4	13.4	7.3	8.1	100	46	3.1	0	32	7.3	0		1.2
94	2002	2	12	1	7.4	7.4	21.2	16	20.3	7	0	5.7	8	13	24	18	13	7.7	10.6	100	55	3.6	0	32	8.8	0		1.3
94	2002	2	13	1	12.6	11.2	18.2	15.6	22.2	9.8	5.2	10.4	11	13	20	15	13	9.1	11.7	84	75	4.2	14	18	8.5	0		2
94	2002	2	14	1	15.8	13.4	19	15	18.6	15.2	12.8	13.2	13.4	14.2	20.5	15	15	10.1	10.4	75	63	11.7	14	14	0	0		2.2
94	2002	3	15	1	14.4	12	17.6	14.8	19.5	14	12	12.2	12.7	14.2	16.5	15	14	9.1	10.9	74	72	11.9	14	14	11.9	0		4
94	2002	3	16	1	13.6	12.8	15	14	18	12.8	10	12.8	13	15	15	14.5	14.5	10.6	11.4	91	89	9	14	0	9	6		1.4
94	2002	3	17	1	9.4	9.4	16.8	15	16.6	9.4	5.5	11.2	11.6	14.2	21	16.5	14.5	9	11.7	100	82	2.3	0	32	2.3	0		0.7
94	2002	3	18	1	8.6	8.6	17	14	22.2	8.5	5	11	12	14.4	22	18	14.4	8.4	10.2	100	70	1.9	0	32	1.9	0		0.2
94	2002	3	19	1	5.8	5.2	17.6	13	17.8	5.5	1	7.4	9.5	14	20.5	17.4	16	6.4	8.4	91	56	1.8	0	32	1.8	0		1.7
94	2002	3	20	1	4.4	4.2	18	10.8	18.8	4.4	-2.2	5.2	8	13.6	24	19	14	6.1	5.4	97	35	0.6	0	32	0.6	0		1.4
94	2002	3	21	1	4.2	3.8	16.8	12	19	3.8	-1	5	7.6	13.4	23.6	18	13.6	5.8	7.6	93	53	2.2	0	32	2.2	0		1.7
94	2002	4	22	1	5.6	5.4	17.6	13	18	5.4	0.4	6.4	8.4	13.4	23	18	13.5	6.6	8.4	97	56	2.5	0	32	8.5	0		1.6
94	2002	4	23	1	5.4	5.2	18.4	12.4	18	3.8	-0.4	6	8.2	13.2	22.5	18	13.6	6.5	7.2	97	45	2.9	0	32	8.6	0		1.6
94	2002	4	24	1	4.8	4.6	19	13	19	4.4	-1.6	5.2	7.8	13.4	21	18	13.6	6.2	7.6	97	46	3.9	0	32	9.2	0		1.6
94	2002	4	25	1	9.6	8	18.6	12	19.6	6.5	2	8	9	13.4	19	17	13.6	7.1	6.5	79	41	3.3	32	32	9.6	0		1.7
94	2002	4	26	1	6.4	5.4	17.4	11	19.2	6.2	0.4	6.6	8.2	13	17	15	13	6.1	6	85	40	4.7	5	14	8.3	0		2
